"PAYSLIP_ID","EMPLOYEE_NO","EMPLOYEE_NAME","PERIOD_START_DATE","PERIOD_END_DATE","EMPLOYEE_POSITION/DEPARTMENT","MONTHLY_RATE","HOURLY_RATE","HOURS_WORKED","OVERTIME","RICE_SUBSIDY","PHONE_ALLOWANCE","CLOTHING_ALLOWANCE","SSS","PHILHEALTH","PAG-IBIG","WITHHOLDING_TAX","TOTAL_ALLOWANCES","TOTAL_DEDUCTIONS","GROSS_iNCOME","NET_PAY"
"202403-24","24","Del Rosario, Tomas","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱18,897.52","₱133.93","141.10","₱0.00","₱22.00","₱1.00","₱500.00","₱877.50","₱283.46","₱100.00","₱3,631.91","₱523.00","₱4,892.87","₱19,420.52","₱14,527.65"
"202403-23","23","Santos, Vella ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱19,281.46","₱133.93","143.97","₱0.00","₱22.00","₱1.00","₱500.00","₱900.00","₱289.22","₱100.00","₱3,703.05","₱523.00","₱4,992.27","₱19,804.46","₱14,812.19"
"202403-22","22","Delos Santos, Kolby ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱19,833.73","₱142.86","138.83","₱0.00","₱24.00","₱1.00","₱500.00","₱922.50","₱297.51","₱100.00","₱3,807.74","₱525.00","₱5,127.75","₱20,358.73","₱15,230.98"
"202403-21","21","Lazaro, Darlene ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱18,959.43","₱138.39","137.00","₱0.00","₱23.00","₱1.00","₱500.00","₱877.50","₱284.39","₱100.00","₱3,644.31","₱524.00","₱4,906.20","₱19,483.43","₱14,577.23"
"202403-20","20","Bautista, Mark ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱19,893.56","₱138.39","143.75","₱0.00","₱23.00","₱1.00","₱500.00","₱922.50","₱298.40","₱100.00","₱3,819.33","₱524.00","₱5,140.24","₱20,417.56","₱15,277.33"
"202403-19","19","Rosario, Cydney ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱21,513.62","₱133.93","160.63","₱0.00","₱22.00","₱1.00","₱500.00","₱990.00","₱322.70","₱100.00","₱4,124.78","₱523.00","₱5,537.49","₱22,036.62","₱16,499.13"
"202403-18","18","San Jose, Allison ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱21,692.20","₱133.93","161.97","₱0.00","₱22.00","₱1.00","₱500.00","₱990.00","₱325.38","₱100.00","₱4,159.96","₱523.00","₱5,575.35","₱22,215.20","₱16,639.85"
"202403-17","17","De Leon, Selena ","2024-03-01","2024-03-31","Account Team Leader / Accounting","₱37,823.20","₱249.11","151.83","₱0.00","₱41.00","₱1.00","₱800.00","₱1,125.00","₱567.35","₱100.00","₱8,353.06","₱842.00","₱10,145.40","₱38,665.20","₱28,519.80"
"202403-16","16","Mata, Christian","2024-03-01","2024-03-31","Account Team Leader / Accounting","₱41,354.33","₱255.80","161.67","₱0.00","₱42.00","₱1.00","₱800.00","₱1,125.00","₱620.32","₱100.00","₱9,396.81","₱843.00","₱11,242.12","₱42,197.33","₱30,955.21"
"202403-15","15","Romualdez, Fredrick ","2024-03-01","2024-03-31","Account Manager / Accounting","₱51,509.29","₱318.45","161.75","₱0.00","₱53.00","₱1.00","₱1.00","₱1,125.00","₱772.64","₱100.00","₱12,161.19","₱55.00","₱14,158.83","₱51,564.29","₱37,405.45"
"202403-14","14","Martinez, Leila","2024-03-01","2024-03-31","Payroll Rank and File / Payroll","₱25,143.36","₱142.86","176.00","₱0.00","₱24.00","₱1.00","₱500.00","₱1,125.00","₱377.15","₱100.00","₱4,974.70","₱525.00","₱6,576.85","₱25,668.36","₱19,091.51"
"202403-13","13","Farala, Martha","2024-03-01","2024-03-31","Payroll Rank and File / Payroll","₱25,117.17","₱142.86","175.82","₱0.00","₱24.00","₱1.00","₱500.00","₱1,125.00","₱376.76","₱100.00","₱4,968.25","₱525.00","₱6,570.01","₱25,642.17","₱19,072.16"
"202403-12","12","Lopez, Josie ","2024-03-01","2024-03-31","Payroll Team Leader / Payroll","₱42,368.70","₱229.02","185.00","₱0.00","₱38.00","₱1.00","₱800.00","₱1,125.00","₱635.53","₱100.00","₱9,695.35","₱839.00","₱11,555.88","₱43,207.70","₱31,651.82"
"202403-11","11","Salcedo, Anthony","2024-03-01","2024-03-31","Payroll Manager / Payroll","₱55,968.05","₱302.53","185.00","₱0.00","₱50.00","₱1.00","₱1.00","₱1,125.00","₱839.52","₱100.00","₱13,477.86","₱52.00","₱15,542.38","₱56,020.05","₱40,477.67"
"202403-10","10","Alvaro, Roderick","2024-03-01","2024-03-31","Accounting Head / Accounting","₱58,986.91","₱313.51","188.15","₱0.00","₱52.00","₱1.00","₱1.00","₱1,125.00","₱884.80","₱100.00","₱14,370.53","₱54.00","₱16,480.33","₱59,040.91","₱42,560.57"
"202403-9","9","Atienza, Rosie ","2024-03-01","2024-03-31","HR Rank and File / HR","₱25,187.77","₱133.93","188.07","₱0.00","₱22.00","₱1.00","₱500.00","₱1,125.00","₱377.82","₱100.00","₱4,985.14","₱523.00","₱6,587.95","₱25,710.77","₱19,122.81"
"202403-8","8","Romualdez, Alice","2024-03-01","2024-03-31","HR Rank and File / HR","₱25,312.77","₱133.93","189.00","₱0.00","₱22.00","₱1.00","₱500.00","₱1,125.00","₱379.69","₱100.00","₱5,015.92","₱523.00","₱6,620.61","₱25,835.77","₱19,215.16"
"202403-7","7","San Jose, Brad ","2024-03-01","2024-03-31","HR Team Leader / HR","₱48,324.88","₱255.80","188.92","₱0.00","₱42.00","₱1.00","₱800.00","₱1,125.00","₱724.87","₱100.00","₱11,456.60","₱843.00","₱13,406.48","₱49,167.88","₱35,761.41"
"202403-6","6","Villanueva, Andrea Mae","2024-03-01","2024-03-31","HR Manager / HR","₱59,253.39","₱313.51","189.00","₱0.00","₱52.00","₱1.00","₱1.00","₱1,125.00","₱888.80","₱100.00","₱14,449.28","₱54.00","₱16,563.08","₱59,307.39","₱42,744.31"
"202403-5","5","Hernandez, Eduard","2024-03-01","2024-03-31","IT Operations and Systems / IT","₱58,960.78","₱313.51","188.07","₱0.00","₱52.00","₱1.00","₱1.00","₱1,125.00","₱884.41","₱100.00","₱14,362.81","₱54.00","₱16,472.22","₱59,014.78","₱42,542.56"
"202403-4","4","Reyes, Isabella","2024-03-01","2024-03-31","Chief Marketing Officer / Corporate","₱67,338.75","₱357.14","188.55","₱0.00","₱60.00","₱1.00","₱2.00","₱1,125.00","₱1,010.08","₱100.00","₱16,841.20","₱63.00","₱19,076.28","₱67,401.75","₱48,325.47"
"202403-3","3","Aquino, Bianca Sofia","2024-03-01","2024-03-31","Chief Finance Officer / Corporate","₱67,362.56","₱357.14","188.62","₱0.00","₱60.00","₱1.00","₱2.00","₱1,125.00","₱1,010.44","₱100.00","₱16,848.24","₱63.00","₱19,083.67","₱67,425.56","₱48,341.88"
"202403-2","2","Lim, Antonio","2024-03-01","2024-03-31","Chief Operating Officer / Corporate","₱67,410.18","₱357.14","188.75","₱0.00","₱60.00","₱1.00","₱2.00","₱1,125.00","₱1,011.15","₱100.00","₱16,862.31","₱63.00","₱19,098.46","₱67,473.18","₱48,374.72"
"202403-1","1","Garcia, Manuel III","2024-03-01","2024-03-31","Chief Executive Officer / Corporate","₱101,249.19","₱535.71","189.00","₱0.00","₱90.00","₱1.00","₱2.00","₱1,125.00","₱1,518.74","₱100.00","₱27,509.04","₱93.00","₱30,252.78","₱101,342.19","₱71,089.41"
